name,local_path
Wei Wang,Wei_Wang.png
Miryung Kim,Miryung_Kim.jpg
Glenn Reinman,Glenn_Reinman.jpg
Amit Sahai,Amit_Sahai.jpg
Omid Abari,Omid_Abari.jpg
Sandra Batista,Sandra_Batista.png
Kai-Wei Chang,Kai-Wei_Chang.jpg
John (Junghoo) Cho,John_Junghoo_Cho.jpg
Jason (Jingsheng) Cong,Jason_Jingsheng_Cong.jpg
Yuchen Cui,Yuchen_Cui.jpg
Adnan Darwiche,Adnan_Darwiche.jpg
Yangruibo (Robin) Ding,Yangruibo_Robin_Ding.jpg
Tobias DuÌˆrschmid,Tobias_Durschmid.jpg
Paul Eggert,Paul_Eggert.jpg
Eleazar Eskin,Eleazar_Eskin.png
Saadia Gabriel,Saadia_Gabriel.png
Aditya Grover,Aditya_Grover.png
Quanquan Gu,Quanquan_Gu.png
Cho-Jui Hsieh,Cho-Jui_Hsieh.png
Eunice Jun,Eunice_Jun.png
Konstantinos Kallas,Konstantinos_Kallas.jpg
Sam Kumar,Sam_Kumar.png
Songwu Lu,Songwu_Lu.png
Raghu Meka,Raghu_Meka.png
Todd Millstein,Todd_Millstein.png
Baharan Mirzasoleiman,Baharan_Mirzasoleiman.jpg
Tony Nowatzki,Tony_Nowatzki.jpg
Rafail Ostrovsky,Rafail_Ostrovsky.jpg
Jens Palsberg,Jens_Palsberg.jpg
Nanyun (Violet) Peng,Nanyun_Violet_Peng.png
Miodrag Potkonjak,Miodrag_Potkonjak.png
Sriram Sankararaman,Sriram_Sankararaman.png
Majid Sarrafzadeh,Majid_Sarrafzadeh.png
Ying Sheng,Ying_Sheng.png
Alexander Sherstov,Alexander_Sherstov.png
David Smallberg,David_Smallberg.png
Stefano Soatto,Stefano_Soatto.jpg
Yizhou Sun,Yizhou_Sun.jpg
Yuval Tamir,Yuval_Tamir.png
Demetri Terzopoulos,Demetri_Terzopoulos.png
Blaise-Pascal Tine,Blaise-Pascal_Tine.png
Guy Van den Broeck,Guy_Van_den_Broeck.jpg
George Varghese,George_Varghese.png
Hanrui Wang,Hanrui_Wang.jpeg
Remy Wang,Remy_Wang.jpg
Harry Xu,Harry_Xu.jpg
J.D. Zamfirescu-Pereira,J.D._Zamfirescu-Pereira.jpg
Lixia Zhang,Lixia_Zhang.png
Lianmin Zheng,Lianmin_Zheng.jpeg
Bolei Zhou,Bolei_Zhou.png
Xiang Anthony Chen,Xiang_Anthony_Chen.jpg
Jason Ernst,Jason_Ernst.jpg
Achuta Kadambi,Achuta_Kadambi.png
Jonathan Kao,Jonathan_Kao.jpg
Jiaqi Ma,Jiaqi_Ma.png
Stanley Osher,Stanley_Osher.jpg
Harold Pimentel,Harold_Pimentel.jpg
Mani Srivastava,Mani_Srivastava.png
Yuan Tian,Yuan_Tian.png
Lin Yang,Lin_Yang.jpg
Yuzhe Yang,Yuzhe_Yang.png
Eran Halperin,Eran_Halperin.jpg
Alan Kay,Alan_Kay.png
Carey Nachenberg,Carey_Nachenberg.jpg
Giovanni Pau,Giovanni_Pau.png
Ramin Ramezani,Ramin_Ramezani.jpg
Algirdas Avizienis,Algirdas_Avizienis.jpg
Rajive Bagrodia,Rajive_Bagrodia.png
Alfonso Cardenas,Alfonso_Cardenas.png
Wesley Chu,Wesley_Chu.png
Joseph DiStefano,Joseph_DiStefano.jpg
Michael Dyer,Michael_Dyer.png
Milos Ercegovac,Milos_Ercegovac.jpg
Eliezer Gafni,Eliezer_Gafni.jpg
Sheila Greibach,Sheila_Greibach.png
Leonard Kleinrock,Leonard_Kleinrock.png
Allen Klinger,Allen_Klinger.png
Richard Korf,Richard_Korf.jpg
Richard Muntz,Richard_Muntz.jpg
Judea Pearl,Judea_Pearl.jpg
Mihaela van der Schaar,Mihaela_van_der_Schaar.jpg
Carlo Zaniolo,Carlo_Zaniolo.png
